first_name,last_name,position,position_alt,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Nikola,Jokic,C,,,2024-02-04,,DEN,POR,-13.5,221,117.3,11800,24,48.3,66.4,80.0,58.3,4.94
Giannis,Antetokounmpo,PF,C,,2024-02-04,,MIL,UTA,+1,247.5,123.3,11400,22,48.0,58.1,79.0,55.0,4.82
Shai,Gilgeous-Alexander,PG,,,2024-02-04,,OKC,TOR,-9.5,235.5,122.5,10300,11,44.3,54.7,63.3,50.5,4.90
Jayson,Tatum,SF,PF,,2024-02-04,,BOS,MEM,-17,221,119,9700,27,39.3,48.0,59.5,46.8,4.82
Damian,Lillard,PG,,,2024-02-04,,MIL,UTA,+1,247.5,123.3,9200,19,30.3,39.8,52.5,43.5,4.73
Kawhi,Leonard,SF,PF,,2024-02-04,,LAC,MIA,-3.5,226,114.8,8700,20,35.8,47.5,58.8,42.8,4.91
Scottie,Barnes,PG,SF,,2024-02-04,,TOR,OKC,+9.5,235.5,113,8900,14,28.0,42.6,60.5,42.5,4.78
Lauri,Markkanen,SF,PF,,2024-02-04,,UTA,MIL,-1,247.5,124.3,8600,15,24.8,42.6,58.5,42.0,4.88
Alperen,Sengun,C,,,2024-02-04,,HOU,MIN,,,,8800,11,30.0,42.4,62.5,42.0,4.77
Tyrese,Haliburton,PG,,Q,2024-02-04,,IND,CHA,,,,9000,24,18.0,31.2,51.5,41.8,4.64
James,Harden,PG,,,2024-02-04,,LAC,MIA,-3.5,226,114.8,8600,18,18.3,41.2,61.5,41.3,4.80
Miles,Bridges,SF,PF,,2024-02-04,,CHA,IND,,,,8400,22,20.8,44.9,68.8,40.5,4.82
Pascal,Siakam,SF,PF,,2024-02-04,,IND,CHA,,,,8500,16,34.0,38.3,49.8,40.0,4.71
Jamal,Murray,PG,,,2024-02-04,,DEN,POR,-13.5,221,117.3,8200,27,21.0,37.7,48.0,39.3,4.79
Karl-Anthony,Towns,PF,C,,2024-02-04,,MIN,HOU,,,,8000,4,26.3,40.6,48.8,39.0,4.88
Anthony,Edwards,PG,SG,,2024-02-04,,MIN,HOU,,,,8300,1,22.3,37.6,62.0,38.8,4.67
